Mercado,Seleção,Tipo de lance,ID da Aposta,Aposta realizada,,Persistência,Probabilidades req.,Aposta (R$),Responsabilidade (R$),Média de probabilidades correspondidas,Lucro/Prejuízo (R$)
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432600922473,17-jun-26 14:13,,C,3.7,55.56,144.46,3.6,55.56
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,A favor,432601153075,17-jun-26 14:15,,C,3.6,3.68,,3.6,(3.68)
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,A favor,432601697543,17-jun-26 14:19,,C,3.25,57.47,,3.25,(57.47)
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432602410854,17-jun-26 14:24,,C,3.7,9.26,25.00,3.7,9.26
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432602412348,17-jun-26 14:24,,C,3.7,9.26,25.00,3.7,9.26
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432602431834,17-jun-26 14:24,,C,3.7,9.26,25.00,3.7,9.26
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432602434266,17-jun-26 14:24,,C,3.7,9.26,25.00,3.7,9.26
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432602460683,17-jun-26 14:24,,C,3.7,9.26,25.00,3.7,9.26
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,A favor,432602927535,17-jun-26 14:28,,C,3.75,45.68,,3.75,(45.68)
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432603388169,17-jun-26 14:31,,C,4.4,44.12,150.01,4.4,44.12
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,A favor,432603539409,17-jun-26 14:32,,C,4.4,44.12,,4.4,(44.12)
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432604014762,17-jun-26 14:36,,C,5.3,5.81,24.40,5.2,5.81
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,A favor,432604203468,17-jun-26 14:37,,C,5.2,5.81,,5.2,(5.81)
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432605862982,17-jun-26 14:49,,C,8.4,19.54,144.60,8.4,19.54
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432605883191,17-jun-26 14:49,,C,8.6,19.74,150.02,8.6,19.74
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,A favor,432609097989,17-jun-26 15:14,,C,9.2,36.29,,9.2,(36.29)
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432609123699,17-jun-26 15:14,,C,9.4,17.86,150.02,9.4,17.86
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,A favor,432609144731,17-jun-26 15:14,,C,9.6,17.49,,9.6,(17.49)
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432609856454,17-jun-26 15:18,,C,12,13.64,150.04,12,13.64
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,A favor,432610106864,17-jun-26 15:20,,C,12,13.64,,12,(13.64)
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,Contra,432610921573,17-jun-26 15:26,,C,17.5,9.09,149.98,17.5,9.09
Futebol / Portugal x RD Congo / Placar correto,Qualquer outra vitória em casa,A favor,432610947510,17-jun-26 15:26,,C,18,8.84,,18,(8.84)
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432599269428,17-jun-26 14:02,,C,14.5,24.67,333.04,14.5,24.67
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,A favor,432599535054,17-jun-26 14:04,,C,15,23.85,,15,(23.85)
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432599787156,17-jun-26 14:06,,C,16.5,21.48,322.20,16,21.48
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432600245645,17-jun-26 14:09,,C,44,5.58,239.94,44,5.58
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,A favor,432600591329,17-jun-26 14:11,,C,48,12.27,,48,(12.27)
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432600724278,17-jun-26 14:12,,C,55,13.89,750.06,55,13.89
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,A favor,432600906227,17-jun-26 14:13,,C,55,13.89,,55,(13.89)
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432601816588,17-jun-26 14:20,,C,60,12.71,749.89,60,12.71
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,A favor,432602370769,17-jun-26 14:24,,C,60,12.71,,60,(12.71)
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432603564015,17-jun-26 14:33,,C,60,12.71,749.89,60,12.71
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,A favor,432605821658,17-jun-26 14:49,,C,50,15.26,,50,(15.26)
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432609354767,17-jun-26 15:15,,C,14,11.54,144.25,13.5,11.54
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,A favor,432609608805,17-jun-26 15:17,,C,13.5,11.53,,13.5,(11.53)
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432609694375,17-jun-26 15:17,,C,13.5,12.00,150.00,13.5,12.00
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,A favor,432609846246,17-jun-26 15:18,,C,13.5,12.00,,13.5,(12.00)
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432610051893,17-jun-26 15:20,,C,12.5,13.04,149.96,12.5,13.04
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,A favor,432610894087,17-jun-26 15:26,,C,10.5,15.52,,10.5,(15.52)
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432611015514,17-jun-26 15:26,,C,11.5,14.29,142.90,11,14.29
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,A favor,432611589620,17-jun-26 15:30,,C,11,14.29,,11,(14.29)
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432612860748,17-jun-26 15:40,,C,13.5,12.00,144.00,13,12.00
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,A favor,432614020690,17-jun-26 15:49,,C,13,12.00,,13,(12.00)
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,Contra,432614314668,17-jun-26 15:53,,C,16.5,9.68,150.04,16.5,9.68
Futebol / Portugal x RD Congo / Resultado da partida,RD Congo,A favor,432614347803,17-jun-26 15:53,,C,17,9.39,,17,(9.39)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432541848646,16-jun-26 22:03,,C,9.8,22.73,200.02,9.8,22.73
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432541859455,16-jun-26 22:03,,C,10,22.28,,10,(22.28)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432541899400,16-jun-26 22:04,,C,11.5,19.05,200.02,11.5,19.05
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432541920131,16-jun-26 22:05,,C,11.5,19.05,,11.5,(19.05)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432541955522,16-jun-26 22:06,,C,11,20.00,200.00,11,20.00
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432541975541,16-jun-26 22:06,,C,10.5,20.95,,10.5,(20.95)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542059084,16-jun-26 22:08,,C,9.6,23.26,200.04,9.6,23.26
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432542062926,16-jun-26 22:08,,C,9.8,22.78,,9.8,(22.78)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542087990,16-jun-26 22:09,,C,9.6,23.26,195.38,9.4,23.26
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432542144873,16-jun-26 22:11,,C,9.2,48.29,,9.2,(48.29)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542198439,16-jun-26 22:12,,C,10,22.22,199.98,10,22.22
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432542212314,16-jun-26 22:12,,C,10.5,21.17,,10.5,(21.17)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542232361,16-jun-26 22:13,,C,11.5,19.05,200.02,11.5,19.05
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542233014,16-jun-26 22:13,,C,11,20.00,200.00,11,20.00
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542237997,16-jun-26 22:13,,C,11,20.00,200.00,11,20.00
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542252380,16-jun-26 22:13,,C,11,20.00,200.00,11,20.00
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432542380588,16-jun-26 22:17,,C,11.5,56.82,,11.5,(56.82)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542490447,16-jun-26 22:21,,C,5.6,32.61,150.01,5.6,32.61
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432542501548,16-jun-26 22:21,,C,5.7,32.03,,5.7,(32.03)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542534026,16-jun-26 22:22,,C,6,19.01,95.05,6,19.01
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432542568459,16-jun-26 22:23,,C,6.2,18.40,,6.2,(18.40)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542676423,16-jun-26 22:27,,C,7.2,24.19,149.98,7.2,24.19
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432542795212,16-jun-26 22:30,,C,6.8,25.61,,6.8,(25.61)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542813548,16-jun-26 22:31,,C,7.2,24.19,149.98,7.2,24.19
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432542831781,16-jun-26 22:32,,C,7.4,23.54,,7.4,(23.54)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432542944402,16-jun-26 22:35,,C,8.6,11.45,87.02,8.6,11.45
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432542962209,16-jun-26 22:35,,C,8.6,11.45,,8.6,(11.45)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432543089979,16-jun-26 22:39,,C,10.5,15.79,150.00,10.5,15.79
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432543094479,16-jun-26 22:39,,C,11,15.07,,11,(15.07)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432543119486,16-jun-26 22:39,,C,10,16.67,150.03,10,16.67
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432543127927,16-jun-26 22:39,,C,10.5,15.88,,10.5,(15.88)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432543182694,16-jun-26 22:41,,C,9.8,17.05,150.04,9.8,17.05
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432543187372,16-jun-26 22:41,,C,10,16.71,,10,(16.71)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432543233895,16-jun-26 22:42,,C,10.5,15.79,150.00,10.5,15.79
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432543260563,16-jun-26 22:43,,C,10.5,15.79,,10.5,(15.79)
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432543289211,16-jun-26 22:44,,C,10.5,15.79,150.00,10.5,15.79
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,Contra,432543292801,16-jun-26 22:44,,C,11,15.00,150.00,11,15.00
Futebol / Argentina x Argélia / Placar correto,Qualquer outra vitória em casa,A favor,432543445039,16-jun-26 22:49,,C,11.5,28.76,,11.5,(28.76)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432541943742,16-jun-26 22:05,,C,7.4,31.25,200.00,7.4,31.25
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432541949621,16-jun-26 22:05,,C,7.4,31.25,,7.4,(31.25)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542079101,16-jun-26 22:09,,C,9,25.00,200.00,9,25.00
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432542087322,16-jun-26 22:09,,C,9,25.00,,9,(25.00)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542184036,16-jun-26 22:12,,C,8.6,26.32,200.03,8.6,26.32
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432542245264,16-jun-26 22:13,,C,7.8,29.02,,7.8,(29.02)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542290543,16-jun-26 22:14,,C,8,21.43,145.72,7.8,21.43
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542390129,16-jun-26 22:18,,C,8,21.43,150.01,8,21.43
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542459329,16-jun-26 22:20,,C,21,12.00,240.00,21,12.00
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432542485643,16-jun-26 22:21,,C,20,29.53,,20,(29.53)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542508997,16-jun-26 22:21,,C,20,21.05,399.95,20,21.05
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432542532767,16-jun-26 22:22,,C,20,21.05,,20,(21.05)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542579630,16-jun-26 22:23,,C,21,10.00,200.00,21,10.00
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542588908,16-jun-26 22:24,,C,21,10.00,200.00,21,10.00
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432542626554,16-jun-26 22:25,,C,21,20.00,,21,(20.00)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542636234,16-jun-26 22:25,,C,22,9.52,199.92,22,9.52
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542658151,16-jun-26 22:26,,C,23,9.09,199.98,23,9.09
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432542671647,16-jun-26 22:26,,C,23,18.20,,23,(18.20)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542793226,16-jun-26 22:30,,C,25,20.83,499.92,25,20.83
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432542810048,16-jun-26 22:31,,C,25,20.83,,25,(20.83)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542871853,16-jun-26 22:33,,C,27,19.23,499.98,27,19.23
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432542877511,16-jun-26 22:33,,C,27,19.23,,27,(19.23)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432542956060,16-jun-26 22:35,,C,27,19.23,499.98,27,19.23
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432543206326,16-jun-26 22:41,,C,27,19.23,,30,(19.23)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432543213408,16-jun-26 22:42,,C,34,1.81,56.11,32,1.81
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432543465644,16-jun-26 22:50,,C,28,11.85,319.95,28,11.85
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432543495842,16-jun-26 22:50,,C,26,12.29,,26,(12.29)
Futebol / Argentina x Argélia / Resultado da partida,Argélia,Contra,432543503059,16-jun-26 22:50,,C,29,17.86,500.08,29,17.86
Futebol / Argentina x Argélia / Resultado da partida,Argélia,A favor,432543542968,16-jun-26 22:52,,C,28,18.94,,28,(18.94)
Futebol / Fortaleza x América-MG / Placar correto,Qualquer outra vitória em casa,Contra,432540660573,16-jun-26 21:24,,C,130,5.81,749.49,130,5.81
Futebol / Fortaleza x América-MG / Placar correto,Qualquer outra vitória em casa,A favor,432540795990,16-jun-26 21:28,,C,150,5.04,,150,(5.04)
Futebol / Fortaleza x América-MG / Placar correto,Qualquer Outra Vitória de Visitante,Contra,432540802898,16-jun-26 21:29,,C,50,6.80,333.20,50,6.80
Futebol / Fortaleza x América-MG / Placar correto,Qualquer Outra Vitória de Visitante,A favor,432540905949,16-jun-26 21:31,,C,60,5.67,,80,(5.67)
Futebol / Fortaleza x América-MG / Placar correto,Qualquer Outra Vitória de Visitante,Contra,432540911785,16-jun-26 21:32,,C,300,1.14,112.86,100,1.14
Futebol / Fortaleza x América-MG / Placar correto,Qualquer Outra Vitória de Visitante,Contra,432541104672,16-jun-26 21:38,,C,90,1.44,128.16,90,1.44
Futebol / Fortaleza x América-MG / Placar correto,Qualquer Outra Vitória de Visitante,A favor,432541115302,16-jun-26 21:38,,C,110,1.18,,110,(1.18)
Futebol / Fortaleza x América-MG / Resultado da partida,Fortaleza,Contra,432540986278,16-jun-26 21:34,,C,44,5.58,239.27,43.88,5.58
Futebol / Fortaleza x América-MG / Resultado da partida,Fortaleza,Contra,432540986672,16-jun-26 21:34,,C,42,0.27,11.07,42,0.27
Futebol / Fortaleza x América-MG / Resultado da partida,Fortaleza,A favor,432541010627,16-jun-26 21:35,,C,48,5.34,,48,(5.34)
Futebol / Fortaleza x América-MG / Resultado da partida,Fortaleza,Contra,432541032736,16-jun-26 21:35,,C,48,10.00,470.00,48,10.00
Futebol / Fortaleza x América-MG / Resultado da partida,Fortaleza,A favor,432541044497,16-jun-26 21:36,,C,50,9.60,,50,(9.60)
Futebol / Fortaleza x América-MG / Resultado da partida,Fortaleza,Contra,432541133134,16-jun-26 21:39,,C,75,6.76,500.24,75,6.76
Futebol / Fortaleza x América-MG / Resultado da partida,Fortaleza,A favor,432541136830,16-jun-26 21:39,,C,80,6.34,,80,(6.34)
Futebol / Fortaleza x América-MG / Resultado da partida,Fortaleza,Contra,432541165157,16-jun-26 21:40,,C,90,5.62,500.18,90,5.62
Futebol / Fortaleza x América-MG / Resultado da partida,Fortaleza,A favor,432541220518,16-jun-26 21:41,,C,80,5.95,,80,(5.95)
Futebol / Fortaleza x América-MG / Resultado da partida,Fortaleza,A favor,432541234377,16-jun-26 21:42,,C,80,0.35,,80,(0.35)
